,IA-Dubuque,IL-Alton,IN-Evansville,IN-Indianapolis,MI-Detroit,MN-Duluth,MN-Mankato,MN-Rochester,MO-Columbia,MO-Kirksville,ND-Jamestown,OH-Cincinnati,WI-Madison
2010-01-02 00:00:00+00:00,-16.1,-8.3,-6.09,-9.44,-1.91,-17.01,-18.97,-20.0,-10.51,-13.87,-21.68,0.59,-13.27
2010-01-02 01:00:00+00:00,-16.66,-8.86,-6.66,-10.01,-2.78,-17.14,-19.98,-20.82,-11.06,-14.96,-21.7,-1.61,-13.87
2010-01-02 02:00:00+00:00,-17.21,-9.41,-7.22,-10.55,-4.38,-16.71,-21.09,-19.36,-11.07,-15.52,-22.23,-5.97,-14.36
2010-01-02 03:00:00+00:00,-17.76,-9.97,-7.76,-10.62,-4.9,-16.77,-22.2,-19.42,-11.62,-15.53,-23.34,-6.63,-14.81
2010-01-02 04:00:00+00:00,-18.31,-9.98,-7.79,-11.16,-5.82,-16.67,-22.23,-19.03,-11.63,-16.07,-24.44,-8.27,-15.39
2010-01-02 05:00:00+00:00,-18.85,-10.52,-8.32,-11.67,-5.92,-16.67,-22.23,-19.67,-12.18,-16.07,-25.55,-8.78,-15.87
2010-01-02 06:00:00+00:00,-18.33,-10.54,-8.88,-12.21,-5.47,-17.2,-22.2,-19.69,-12.19,-16.61,-26.64,-9.34,-15.84
2010-01-02 07:00:00+00:00,-18.88,-11.08,-9.38,-12.24,-4.97,-18.27,-21.1,-20.13,-12.74,-16.61,-27.22,-9.88,-16.3
2010-01-02 08:00:00+00:00,-19.39,-11.08,-8.83,-12.74,-4.97,-19.38,-21.08,-20.01,-12.73,-16.06,-27.77,-9.89,-16.27
2010-01-02 09:00:00+00:00,-17.74,-9.98,-7.75,-12.22,-4.97,-19.47,-21.08,-18.93,-12.17,-14.96,-28.31,-9.35,-14.74
2010-01-02 10:00:00+00:00,-16.09,-8.87,-6.69,-11.62,-3.98,-19.03,-21.05,-17.84,-10.51,-13.31,-27.21,-8.82,-13.13
2010-01-02 11:00:00+00:00,-14.97,-7.76,-6.06,-10.05,-4.01,-18.46,-19.94,-17.28,-8.86,-12.21,-26.13,-7.2,-12.48
2010-01-02 12:00:00+00:00,-14.39,-7.18,-5.51,-8.91,-4.44,-17.92,-18.84,-17.18,-7.75,-11.65,-25.57,-6.63,-11.37
2010-01-02 13:00:00+00:00,-13.83,-5.47,-4.41,-7.86,-4.44,-17.92,-18.83,-16.66,-7.18,-11.1,-25.02,-5.53,-10.77
2010-01-02 14:00:00+00:00,-12.75,-6.03,-4.39,-7.28,-4.38,-18.42,-18.83,-16.63,-7.17,-10.54,-24.46,-4.98,-10.25
2010-01-02 15:00:00+00:00,-13.29,-7.18,-3.89,-7.24,-4.51,-18.57,-18.84,-16.72,-7.18,-11.09,-24.46,-4.93,-9.24
2010-01-02 16:00:00+00:00,-13.32,-7.13,-4.44,-7.26,-4.95,-20.03,-18.88,-17.26,-7.74,-11.11,-25.02,-5.99,-9.44
2010-01-02 17:00:00+00:00,-14.43,-7.77,-4.97,-7.83,-5.52,-21.16,-21.07,-18.84,-8.84,-12.22,-26.72,-6.06,-9.91
2010-01-02 18:00:00+00:00,-18.88,-11.09,-8.32,-8.87,-5.63,-21.17,-26.17,-24.01,-10.49,-17.19,-24.39,-6.63,-16.6
2010-01-02 19:00:00+00:00,-15.0,-8.86,-6.13,-12.79,-11.53,-22.83,-22.78,-20.17,-10.51,-14.42,-29.47,-8.77,-11.51
2010-01-02 20:00:00+00:00,-15.01,-9.41,-6.66,-9.52,-6.68,-23.87,-23.88,-20.7,-11.07,-15.53,-29.96,-7.16,-12.14
2010-01-02 21:00:00+00:00,-15.57,-10.51,-7.74,-10.02,-7.24,-24.43,-24.99,-21.76,-11.62,-16.64,-32.67,-7.72,-12.78
2010-01-02 22:00:00+00:00,-17.72,-11.63,-8.28,-11.08,-7.77,-24.52,-26.09,-22.27,-12.72,-16.66,-31.07,-7.73,-13.29
2010-01-02 23:00:00+00:00,-17.74,-12.18,-8.88,-11.16,-7.84,-25.06,-27.19,-23.85,-12.75,-17.76,-32.18,-7.78,-13.9
2010-01-03 00:00:00+00:00,-18.3,-12.75,-8.9,-11.66,-8.72,-26.06,-27.23,-24.83,-13.84,-18.86,-32.69,-8.81,-14.98
2010-01-03 01:00:00+00:00,-18.34,-13.3,-9.93,-12.23,-9.38,-26.61,-27.81,-24.98,-14.95,-19.42,-32.69,-8.85,-15.52
2010-01-03 02:00:00+00:00,-20.51,-14.39,-10.0,-12.22,-9.41,-27.11,-27.85,-25.14,-15.49,-19.44,-33.22,-8.85,-16.74
2010-01-03 03:00:00+00:00,-19.99,-14.41,-10.54,-12.21,-9.97,-27.57,-28.92,-25.27,-16.05,-20.54,-33.72,-9.38,-17.24
2010-01-03 04:00:00+00:00,-20.56,-14.96,-11.08,-12.21,-9.97,-28.19,-30.01,-25.77,-16.61,-21.1,-33.76,-9.91,-17.83
2010-01-03 05:00:00+00:00,-20.57,-14.97,-11.64,-12.22,-9.97,-28.24,-31.11,-26.78,-16.62,-21.66,-32.69,-10.44,-18.9
2010-01-03 06:00:00+00:00,-21.65,-14.98,-12.19,-12.76,-9.97,-28.82,-32.18,-27.74,-17.18,-22.21,-31.59,-10.49,-19.97
2010-01-03 07:00:00+00:00,-21.66,-16.07,-12.22,-13.33,-9.94,-28.81,-32.24,-26.87,-17.73,-23.31,-32.12,-10.48,-20.04
2010-01-03 08:00:00+00:00,-22.18,-16.06,-11.65,-13.91,-10.09,-28.85,-32.23,-27.3,-17.73,-22.76,-32.11,-10.98,-20.49
2010-01-03 09:00:00+00:00,-21.61,-14.96,-10.55,-13.87,-10.24,-28.28,-31.09,-27.16,-17.17,-21.66,-30.99,-9.94,-19.86
2010-01-03 10:00:00+00:00,-19.96,-13.84,-8.84,-12.23,-11.71,-25.72,-28.87,-24.55,-15.51,-19.99,-29.87,-10.41,-18.69
2010-01-03 11:00:00+00:00,-19.39,-12.72,-7.75,-11.12,-11.76,-23.41,-27.76,-24.34,-14.39,-18.89,-28.2,-9.83,-17.46
2010-01-03 12:00:00+00:00,-17.74,-11.07,-6.16,-9.5,-11.73,-21.55,-25.02,-23.22,-12.72,-16.68,-27.06,-8.77,-15.85
2010-01-03 13:00:00+00:00,-18.26,-9.36,-6.11,-8.95,-11.27,-19.9,-26.06,-23.18,-9.97,-15.04,-24.88,-8.24,-14.77
2010-01-03 14:00:00+00:00,-17.71,-8.88,-5.56,-8.37,-10.77,-18.87,-23.87,-21.63,-9.94,-15.0,-23.26,-7.17,-14.23
2010-01-03 15:00:00+00:00,-16.63,-8.11,-5.08,-8.42,-11.23,-18.87,-22.81,-21.19,-9.38,-14.98,-22.2,-7.17,-13.79
2010-01-03 16:00:00+00:00,-16.66,-8.11,-6.14,-9.46,-11.26,-18.92,-23.92,-21.76,-8.85,-15.53,-22.76,-7.17,-14.42
2010-01-03 17:00:00+00:00,-17.77,-11.07,-7.27,-10.58,-11.75,-21.33,-25.06,-22.87,-9.94,-16.64,-23.31,-7.72,-16.12
2010-01-03 18:00:00+00:00,-16.1,-11.1,-7.81,-11.67,-12.29,-17.42,-22.26,-18.95,-12.71,-16.02,-17.2,-7.74,-14.38
2010-01-03 19:00:00+00:00,-19.43,-12.71,-8.86,-7.88,-7.4,-21.55,-27.25,-24.88,-11.04,-17.17,-24.35,-6.74,-17.86
2010-01-03 20:00:00+00:00,-19.99,-13.28,-8.89,-13.37,-12.76,-22.12,-27.82,-25.53,-11.04,-16.63,-24.86,-9.38,-17.89
2010-01-03 21:00:00+00:00,-19.99,-13.83,-9.43,-14.47,-13.22,-23.14,-27.79,-25.03,-11.6,-16.63,-24.88,-10.5,-18.26
2010-01-03 22:00:00+00:00,-20.0,-13.86,-10.53,-15.57,-13.41,-23.12,-27.78,-25.52,-12.14,-16.64,-25.97,-11.59,-18.95
2010-01-03 23:00:00+00:00,-20.57,-14.4,-11.12,-16.11,-13.96,-23.58,-27.84,-26.03,-12.15,-17.18,-25.46,-12.14,-20.02
2010-01-04 00:00:00+00:00,-21.13,-14.42,-11.66,-16.65,-14.41,-23.61,-27.88,-25.61,-12.7,-17.18,-25.42,-13.22,-20.06
2010-01-04 01:00:00+00:00,-21.13,-14.42,-12.22,-16.67,-14.91,-23.67,-27.86,-24.71,-13.25,-17.18,-25.4,-13.24,-20.22
2010-01-04 02:00:00+00:00,-21.13,-14.42,-12.76,-16.68,-14.87,-23.26,-28.9,-25.17,-13.25,-17.18,-24.34,-13.81,-21.62
2010-01-04 03:00:00+00:00,-21.68,-14.42,-13.29,-17.22,-14.9,-23.25,-28.98,-25.19,-13.27,-17.19,-24.37,-13.84,-21.56
2010-01-04 04:00:00+00:00,-21.7,-14.42,-13.82,-17.22,-14.87,-23.68,-29.0,-25.71,-13.27,-16.64,-23.82,-14.36,-21.07
